"ID","FECHA_UTC","HORA_UTC","LATITUD","LONGITUD","PROFUNDIDAD","MAGNITUD","FECHA_CORTE"
"203","19640505","032655","-18.66","-72.76","28","5.2","20223006"
"204","19640509","200635","-5.79","-82.55","19","4.9","20223006"
"205","19640514","113016","-15.56","-70.86","185","4.5","20223006"
"206","19640518","041505","-12.15","-73.53","81","4.8","20223006"
"207","19640523","164207","-16.3","-69.2","235","4.6","20223006"
"208","19640528","124959","-13.404","-74.848","103","5.4","20223006"
"209","19640531","195809","-9.466","-79.739","40","4.8","20223006"
"210","19640603","074931","-5.19","-78.6","33","4.7","20223006"
"211","19640604","114603","-9.758","-76.306","121","5.7","20223006"
"212","19640606","003252","-14.93","-72.1","108","4.6","20223006"
"213","19640606","034427","-8.51","-79.305","49","4.8","20223006"
"214","19640609","153130","-4.77","-77.9","40","4.9","20223006"
"215","19640616","111525","-18","-71.7","80","4.6","20223006"
"216","19640621","065448","-15.29","-73.413","95","5.3","20223006"
"217","19640623","003012","-3.73","-78.1","53","5","20223006"
"218","19640701","224920","-14.31","-73.256","84","5.6","20223006"
"219","19640702","090937","-11.5","-74.36","7","5","20223006"
"220","19640704","121346","-16.45","-72.53","81","5.7","20223006"
"221","19640705","221459","-10.24","-75.11","135","5.3","20223006"
"222","19640710","191644","-15.98","-71.6","136","5.3","20223006"
"223","19640718","111317","-18.505","-71.392","44","5.1","20223006"
"224","19640802","081405","-17.25","-69.63","5","4.7","20223006"
"225","19640804","130622","-5.14","-78.7","33","4.6","20223006"
"226","19640810","073453","-16.764","-71.111","99","5.2","20223006"
"227","19640813","163219","-6","-81.3","49","4.7","20223006"
"228","19640818","002653","-7.32","-74.51","156","5.5","20223006"
"229","19640819","140038","-6.92","-75.26","15","4.9","20223006"
"230","19640910","213632","-4.797","-81.454","25","4.9","20223006"
"231","19640917","074114","-15.78","-72.945","106","5.3","20223006"
"232","19640919","172612","-5.94","-81.685","10","5","20223006"
"233","19640921","132744","-8.3","-74.9","125","5","20223006"
"234","19640929","184614","-8.53","-74.29","159","4.6","20223006"
"235","19640929","203152","-16.36","-69.35","139","4.5","20223006"
"236","19641002","204147","-9.1","-79.687","32","5","20223006"
"237","19641003","124932","-10.749","-75.057","151","4.9","20223006"
"238","19641006","181907","-13.1","-75.1","117","4.7","20223006"
"239","19641011","141914","-18.001","-71.671","37","5.3","20223006"
"240","19641013","235413","-13.57","-76.8","61","5","20223006"
"241","19641017","074533","-13.46","-72.6","44","4.9","20223006"
"242","19641028","030708","-13.5","-72.67","54","4.9","20223006"
"243","19641102","065101","-4.011","-76.742","105","6","20223006"
"244","19641111","184856","-13.68","-75.34","81","5.3","20223006"
"245","19641112","121337","-18.49","-70.42","91","5.1","20223006"
"246","19641118","001202","-10.5","-75.7","94","4.8","20223006"
"247","19641118","040401","-13.315","-75.265","94","4.8","20223006"
"248","19641121","172425","-4.87","-76.7","109","4.9","20223006"
"249","19641128","164931","-7.912","-71.367","640","5.6","20223006"
"250","19641129","032455","-4.12","-80.28","100","4.8","20223006"
"251","19641206","031538","-15.53","-70.6","168","5","20223006"
"252","19641207","155553","-6.613","-76.352","132","5.2","20223006"
"253","19641215","162011","-7.15","-76.77","33","5.2","20223006"
"254","19641219","111805","-16.46","-72.87","108","4.7","20223006"
"255","19641222","002449","-9.615","-71.265","605","5.5","20223006"
"256","19650102","052510","-15.91","-71.04","69","4.9","20223006"
"257","19650106","152633","-9.687","-79.373","35","4.9","20223006"
"258","19650107","115730","-3.1","-76.7","30","4.9","20223006"
"259","19650107","141722","-15.5","-70.89","0","4.8","20223006"
"260","19650109","143514","-9.8","-80","26","4.9","20223006"
"261","19650110","034346","-3.32","-81.4","22","5.2","20223006"
"262","19650111","092739","-16.8","-74.9","33","4.8","20223006"
"263","19650112","133651","-9.747","-74.983","36","5.6","20223006"
"264","19650114","082519","-5.648","-81.366","32","5.8","20223006"
"265","19650123","144826","-8.4","-74.5","33","4.7","20223006"
"266","19650125","223639","-9.478","-74.474","115","4.7","20223006"
"267","19650126","165415","-14.379","-75.757","57","4.7","20223006"
"268","19650128","053500","-12.86","-78.58","16","5.2","20223006"
"269","19650213","100524","-5.9","-77.6","69","4.9","20223006"
"270","19650218","223219","-10.068","-71.101","585","5.5","20223006"
"271","19650219","230150","-7.52","-74.68","138","4.9","20223006"
"272","19650220","211013","-18.455","-72.71","15","5.3","20223006"
"273","19650309","025552","-13.52","-72.79","40","4.6","20223006"
"274","19650311","145505","-18.27","-71.36","68","4.5","20223006"
"275","19650312","225446","-5.799","-77.856","38","5.3","20223006"
"276","19650315","050851","-17.5","-74.9","13","5.8","20223006"
"277","19650324","111705","-18.457","-69.96","100","4.9","20223006"
"278","19650328","053028","-15.277","-72.432","118","5","20223006"
"279","19650328","100001","-15.935","-74.16","68","5.6","20223006"
"280","19650404","200943","-8.83","-74.413","143","5.5","20223006"
"281","19650406","192150","-3.146","-78.252","93","5.3","20223006"
"282","19650408","000247","-8.327","-79.607","35","4.7","20223006"
"283","19650415","020010","-5.72","-75.6","33","4.9","20223006"
"284","19650422","221405","-5.997","-78.642","111","5","20223006"
"285","19650427","052447","-13.68","-75.896","78","5.2","20223006"
"286","19650428","094212","-14.205","-76.155","70","4.7","20223006"
"287","19650504","121041","-16.53","-73.33","78","4.9","20223006"
"288","19650505","091358","-13.861","-75.861","89","5","20223006"
"289","19650508","222240","-13.7","-71.6","20","4.8","20223006"
"290","19650509","195901","-2.796","-77.233","112","5.2","20223006"
"291","19650510","083521","-17.335","-70.692","107","4.9","20223006"
"292","19650511","005831","-6.7","-80.9","71","4.6","20223006"
"293","19650512","094238","-14.002","-76.54","37","5","20223006"
"294","19650520","095515","-3.77","-80.76","30","4.9","20223006"
"295","19650529","042516","-10.1","-74.4","33","4.6","20223006"
"296","19650603","121231","-13.9","-76.4","82","4.7","20223006"
"297","19650604","145334","-9.166","-78.961","72","4.8","20223006"
"298","19650605","204110","-13.74","-71.6","73","4.7","20223006"
"299","19650608","054650","-4.01","-78.2","33","4.7","20223006"
"300","19650618","033750","-4.67","-80.6","33","4.7","20223006"
"301","19650618","224518","-11.217","-73.661","111","5.6","20223006"
"302","19650621","104641","-3.67","-77.89","25","4.9","20223006"
"303","19650624","032949","-18.375","-70.133","85","5.3","20223006"
"304","19650624","165405","-15.62","-70.61","191","4.8","20223006"
"305","19650626","055514","-9.124","-72.975","49","4.9","20223006"
"306","19650627","170905","-2.634","-77.018","121","5.3","20223006"
"307","19650630","081544","-14.638","-75.948","38","4.5","20223006"
"308","19650702","010948","-7.65","-76.93","42","4.9","20223006"
"309","19650702","022816","-7.75","-76.9","49","4.9","20223006"
"310","19650708","235119","-9.7","-79.7","33","4.8","20223006"
"311","19650709","174641","-7.7","-80.8","33","4.9","20223006"
